"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"4","0.008021","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=1 Ack=1 Win=65535 Len=1448 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.000000000","0.000000000"
"6","0.014808","114.205.219.87.dynamic.jazztel.es","172.31.187.1","BitTorrent","474","Continuation data  ","20","Class Selector 2","CS2","","","0.000000000","0.000000000"
"7","0.029019","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=1449 Ack=1 Win=65535 Len=1448 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.020954000","0.020998000"
"8","0.035618","212.174.114.237.static.ttnet.com.tr","172.31.187.1","TCP","1514","62433  >  35515 [PSH, ACK] Seq=1 Ack=1 Win=16283 Len=1460","20","Class Selector 2","CS2","","","0.000000000","0.000000000"
"9","0.040407","190-21-6-36.baf.movistar.cl","172.31.187.1","TCP","1494","48462  >  4863 [ACK] Seq=1 Ack=1 Win=7820 Len=1440","20","Class Selector 2","CS2","","","0.000000000","0.000000000"
"11","0.050422","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=2897 Ack=1 Win=65535 Len=1448 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021403000","0.042401000"
"13","0.072819","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4345 Ack=1 Win=65535 Len=1448 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022354000","0.064798000"
"14","0.077817","static-sch-17-225-126-221-on-nets.com","172.31.187.1","BT-DHT","349","","","Class Selector 2","CS2","","","",""
"16","0.093421","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=5793 Ack=1 Win=65535 Len=1448 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.020602000","0.085400000"
"18","0.105819","190-21-6-36.baf.movistar.cl","172.31.187.1","TCP","1494","48462  >  4863 [ACK] Seq=1441 Ack=1 Win=7820 Len=1440","20","Class Selector 2","CS2","","","0.065387000","0.065412000"
"19","0.115410","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=7241 Ack=1 Win=65535 Len=1448 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021948000","0.107389000"
"20","0.121218","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","535","57857  >  35515 [PSH, ACK] Seq=8689 Ack=1 Win=65535 Len=469 TSval=790406671 TSecr=283389[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.005808000","0.113197000"
"36","0.152823","74.246.217.87.dynamic.jazztel.es","172.31.187.1","TCP","1496","18638  >  4955 [ACK] Seq=1 Ack=1 Win=64306 Len=1442","20","Class Selector 2","CS2","","","0.000000000","0.000000000"
"39","0.154212","pc-173-25-104-200.cm.vtr.net","172.31.187.1","TCP","60","25701  >  wmlserver(4883) [ACK] Seq=1 Ack=1 Win=15173 Len=0","20","Class Selector 2","CS2","","","0.000000000","0.000000000"
"40","0.167423","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","66","57857  >  35515 [ACK] Seq=9158 Ack=290 Win=65535 Len=0 TSval=790406673 TSecr=283391","32","Assured Forwarding 11","AF11","","","0.046169000","0.159402000"
"42","0.192826","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=9158 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.025403000","0.184805000"
"43","0.214224","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=10606 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021398000","0.206203000"
"48","0.236420","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=12054 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022152000","0.228399000"
"49","0.242419","81.202.1.81.dyn.user.ono.com","172.31.187.1","TCP","72","19027  >  4926 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=18","20","Assured Forwarding 21","AF21","","","0.000000000","0.000000000"
"50","0.257824","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=13502 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021404000","0.249803000"
"52","0.278023","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=14950 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.020154000","0.270002000"
"53","0.300421","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=16398 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022398000","0.292400000"
"55","0.320623","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=17846 Ack=290 Win=65535 Len=1448 TSval=790406674 TSecr=283392[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.020163000","0.312602000"
"56","0.337015","114.205.219.87.dynamic.jazztel.es","172.31.187.1","BitTorrent","564","Continuation data  ","20","Class Selector 2","CS2","","","0.107117000","0.322207000"
