"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"1","0.000000","172.31.187.1","172.31.187.100","TCP","62","4638  >  ssh(22) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM","28","Default","CS0","","","0.000000000","0.000000000"
"3","0.000160","172.31.187.1","172.31.187.100","TCP","60","4638  >  ssh(22) [ACK] Seq=1 Ack=1 Win=65535 Len=0","20","Default","CS0","","","0.000150000","0.000160000"
"24","0.131389","172.31.187.1","172.31.187.11","TCP","62","4620  >  ftp(21) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM","28","Default","CS0","","","0.000000000","0.000000000"
"26","0.131592","172.31.187.1","172.31.187.11","TCP","60","4620  >  ftp(21) [ACK] Seq=1 Ack=1 Win=65535 Len=0","20","Default","CS0","","","0.000150000","0.000203000"
"28","0.138167","172.31.187.1","172.31.187.11","FTP","66","Request: USER lukas","20","Default","CS0","","","0.000830000","0.006778000"
"31","0.138757","172.31.187.1","172.31.187.11","FTP","61","Request: PASS ","20","Default","CS0","","","0.000382000","0.007368000"
"81","0.514603","172.31.187.1","172.31.187.100","SSHv2","82","Client: Protocol (SSH-2.0-PuTTY_)","20","Default","CS0","","","0.000354000","0.514603000"
"82","0.514628","172.31.187.1","172.31.187.100","SSHv2","566","Key Exchange Init[Packet size limited during capture]","20","Default","CS0","","","0.000025000","0.514628000"
"83","0.514637","172.31.187.1","172.31.187.100","SSHv2","158","Unknown (104)[BoundErrorUnreassembled Packet]","20","Default","CS0","","","0.000009000","0.514637000"
"88","0.516733","172.31.187.1","172.31.187.100","SSHv2","70","Diffie-Hellman Key Exchange Init[BoundErrorUnreassembled Packet]","20","Default","CS0","","","0.000349000","0.516733000"
"132","0.799910","172.31.187.1","172.31.187.100","TCP","60","4638  >  ssh(22) [ACK] Seq=661 Ack=1342 Win=64194 Len=0","20","Default","CS0","","","0.176322000","0.799910000"
"162","0.955684","172.31.187.1","172.31.187.100","SSHv2","566","Unknown (32)[BoundErrorUnreassembled Packet]","20","Default","CS0","","","0.155774000","0.955684000"
"164","0.955745","172.31.187.1","172.31.187.100","SSHv2","70","Unknown (74)[BoundErrorUnreassembled Packet]","20","Default","CS0","","","0.000011000","0.955745000"
"192","1.202229","172.31.187.1","172.31.187.100","TCP","60","4638  >  ssh(22) [ACK] Seq=1189 Ack=2446 Win=65535 Len=0","20","Default","CS0","","","0.167807000","1.202229000"
"354","2.642427","172.31.187.1","172.31.187.100","SSHv2","70","New Keys[Packet size limited during capture]","20","Default","CS0","","","1.440198000","2.642427000"
"356","2.642890","172.31.187.1","172.31.187.100","SSHv2","106","Unknown (132)[BoundErrorUnreassembled Packet]","20","Default","CS0","","","0.000411000","2.642890000"
"372","2.801273","172.31.187.1","172.31.187.11","TCP","60","4620  >  ftp(21) [RST, ACK] Seq=20 Ack=77 Win=0 Len=0","20","Default","CS0","","","0.004978000","2.669884000"
"375","2.811613","172.31.187.1","172.31.187.100","TCP","60","4638  >  ssh(22) [ACK] Seq=1257 Ack=2498 Win=65483 Len=0","20","Default","CS0","","","0.168643000","2.811613000"
"550","4.540972","172.31.187.1","172.31.187.11","TCP","62","4623  >  ftp(21) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM","28","Default","CS0","","","0.000000000","0.000000000"
"552","4.541313","172.31.187.1","172.31.187.11","TCP","60","4623  >  ftp(21) [ACK] Seq=1 Ack=1 Win=65535 Len=0","20","Default","CS0","","","0.000306000","0.000341000"
