"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"2","0.000010","172.31.187.100","172.31.187.1","TCP","62","ssh(22)  >  4638 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM","28","Assured Forwarding 11","AF11","","","0.000010000","0.000010000"
"23","0.131212","Foxconn_84:23:d8","DLink_30:95:99","ARP","42","172.31.187.11 is at 00:15:58:84:23:d8","","","","","","",""
"25","0.131442","172.31.187.11","172.31.187.1","TCP","62","ftp(21)  >  4620 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM","28","Default","CS0","","","0.000053000","0.000053000"
"27","0.137337","172.31.187.11","172.31.187.1","FTP","74","Response: 220 (vsFTPd 2.","20","Default","CS0","","","0.005745000","0.005948000"
"29","0.138214","172.31.187.11","172.31.187.1","TCP","54","ftp(21)  >  4620 [ACK] Seq=21 Ack=13 Win=5840 Len=0","20","Default","CS0","","","0.000047000","0.006825000"
"30","0.138375","172.31.187.11","172.31.187.1","FTP","88","Response: 331 Please spe","20","Default","CS0","","","0.000161000","0.006986000"
"41","0.178779","172.31.187.11","172.31.187.1","TCP","54","ftp(21)  >  4620 [ACK] Seq=55 Ack=20 Win=5840 Len=0","20","Default","CS0","","","0.040022000","0.047390000"
"80","0.514249","172.31.187.100","172.31.187.1","SSHv2","75","Server: Protocol (SSH-2.0-OpenSS)","20","Assured Forwarding 11","AF11","","","0.514089000","0.514249000"
"84","0.514883","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=22 Ack=29 Win=5840 Len=0","20","Assured Forwarding 11","AF11","","","0.000246000","0.514883000"
"85","0.514906","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=22 Ack=541 Win=6432 Len=0","20","Assured Forwarding 11","AF11","","","0.000023000","0.514906000"
"86","0.514915","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=22 Ack=645 Win=6432 Len=0","20","Assured Forwarding 11","AF11","","","0.000009000","0.514915000"
"87","0.516384","172.31.187.100","172.31.187.1","SSHv2","838","Key Exchange Init[Packet size limited during capture]","20","Assured Forwarding 11","AF11","","","0.001469000","0.516384000"
"91","0.555793","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=806 Ack=661 Win=6432 Len=0","20","Assured Forwarding 11","AF11","","","0.039060000","0.555793000"
"100","0.623588","172.31.187.100","172.31.187.1","SSHv2","590","Diffie-Hellman Key Exchange Reply[BoundErrorUnreassembled Packet]","20","Assured Forwarding 11","AF11","","","0.067795000","0.623588000"
"163","0.955734","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=1342 Ack=1173 Win=7504 Len=0","20","Assured Forwarding 11","AF11","","","0.000050000","0.955734000"
"165","0.955754","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=1342 Ack=1189 Win=7504 Len=0","20","Assured Forwarding 11","AF11","","","0.000009000","0.955754000"
"176","1.034422","172.31.187.100","172.31.187.1","SSHv2","1158","Unknown (33)[Packet size limited during capture]","20","Assured Forwarding 11","AF11","","","0.078668000","1.034422000"
"355","2.642479","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=2446 Ack=1205 Win=7504 Len=0","20","Assured Forwarding 11","AF11","","","0.000052000","2.642479000"
"357","2.642912","172.31.187.100","172.31.187.1","TCP","54","ssh(22)  >  4638 [ACK] Seq=2446 Ack=1257 Win=7504 Len=0","20","Assured Forwarding 11","AF11","","","0.000022000","2.642912000"
"358","2.642970","172.31.187.100","172.31.187.1","SSHv2","106","Unknown (122)[BoundErrorUnreassembled Packet]","20","Assured Forwarding 11","AF11","","","0.000058000","2.642970000"
"370","2.796295","172.31.187.11","172.31.187.1","FTP","76","Response: 530 Login inco","20","Default","CS0","","","2.617516000","2.664906000"
"551","4.541007","172.31.187.11","172.31.187.1","TCP","62","ftp(21)  >  4623 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM","28","Default","CS0","","","0.000035000","0.000035000"
"553","4.542581","172.31.187.11","172.31.187.1","FTP","74","Response: 220 (vsFTPd 2.","20","Default","CS0","","","0.001268000","0.001609000"
"555","4.543136","172.31.187.11","172.31.187.1","TCP","54","ftp(21)  >  4623 [ACK] Seq=21 Ack=13 Win=5840 Len=0","20","Default","CS0","","","0.000026000","0.002164000"
"558","4.549845","172.31.187.11","172.31.187.1","FTP","88","Response: 331 Please spe","20","Default","CS0","","","0.006709000","0.008873000"
"564","4.589782","172.31.187.11","172.31.187.1","TCP","54","ftp(21)  >  4623 [ACK] Seq=55 Ack=22 Win=5840 Len=0","20","Default","CS0","","","0.039539000","0.048810000"
"588","4.615407","172.31.187.11","172.31.187.1","FTP","77","Response: 230 Login succ","20","Default","CS0","","","0.025625000","0.074435000"
"591","4.617549","172.31.187.11","172.31.187.1","TCP","54","ftp(21)  >  4623 [ACK] Seq=78 Ack=36 Win=5840 Len=0","20","Default","CS0","","","0.000023000","0.076577000"
